rule,entropy,contrast,sharpness,value,label
1,low,low,low,6.0,Poor
2,low,low,med,18.6,Poor
3,low,low,high,38.8,Fair
4,low,med,low,17.2,Poor
5,low,med,med,40.1,Fair
6,low,med,high,43.3,Fair
7,low,high,low,53.2,Good
8,low,high,med,75.4,Excellent
9,low,high,high,44.2,Fair
10,med,low,low,56.2,Good
11,med,low,med,84.3,Excellent
12,med,low,high,52.7,Good
13,med,med,low,3.7,Poor
14,med,med,med,65.1,Good
15,med,med,high,63.4,Good
16,med,high,low,0.0,Poor
17,med,high,med,65.8,Good
18,med,high,high,68.9,Good
19,high,low,low,7.9,Poor
20,high,low,med,11.9,Poor
21,high,low,high,14.8,Poor
22,high,med,low,93.7,Excellent
23,high,med,med,100.0,Excellent
24,high,med,high,95.6,Excellent
25,high,high,low,54.5,Good
26,high,high,med,65.5,Good
27,high,high,high,64.3,Good
