rule,psnr,ssim,entropy,original_label,calibrated_value,calibrated_label,changed
1,low,low,low,Poor,10.9,Poor,False
2,low,low,med,Poor,30.3,Fair,True
3,low,low,high,Poor,31.3,Fair,True
4,low,med,low,Poor,17.2,Poor,False
5,low,med,med,Fair,28.7,Fair,False
6,low,med,high,Fair,39.9,Fair,False
7,low,high,low,Fair,50.0,Fair,False
8,low,high,med,Fair,13.3,Poor,True
9,low,high,high,Fair,100.0,Excellent,True
10,med,low,low,Poor,25.0,Poor,False
11,med,low,med,Fair,61.1,Good,True
12,med,low,high,Fair,0.0,Poor,True
13,med,med,low,Fair,68.9,Good,True
14,med,med,med,Fair,84.9,Excellent,True
15,med,med,high,Good,32.0,Fair,True
16,med,high,low,Fair,44.9,Fair,False
17,med,high,med,Good,37.7,Fair,True
18,med,high,high,Good,87.4,Excellent,True
19,high,low,low,Fair,89.9,Excellent,True
20,high,low,med,Fair,36.2,Fair,False
21,high,low,high,Fair,14.9,Poor,True
22,high,med,low,Fair,89.9,Excellent,True
23,high,med,med,Good,60.2,Good,False
24,high,med,high,Good,78.6,Excellent,True
25,high,high,low,Fair,10.9,Poor,True
26,high,high,med,Good,87.6,Excellent,True
27,high,high,high,Excellent,59.7,Good,True
