model,lpips_mean,lpips_std,niqe_mean,niqe_std,brisque_mean,brisque_std
psnr,0.574,0.049,0.091,0.048,-0.295,0.03
ssim,0.543,0.032,0.142,0.077,0.079,0.044
entropy,0.488,0.033,0.128,0.062,-0.384,0.049
contrast,0.222,0.032,-0.068,0.054,-0.403,0.029
sharpness,-0.101,0.018,-0.175,0.042,-0.395,0.027
fuzzy_handtuned,0.53,0.026,0.141,0.069,0.027,0.048
fr_fuzzy_free,0.764,0.03,0.337,0.046,-0.062,0.033
nr_fuzzy_free,0.753,0.021,0.425,0.045,0.059,0.069
nr_fuzzy_mono,0.591,0.058,0.21,0.098,-0.174,0.15
