experiment,model,global_mean,global_std,perfold_mean,perfold_std,delta,lpips_mean,lpips_std,niqe_mean,niqe_std,held_out,rho,n,seed,mean_rho,std,spread
leakage,FR-calibrated,0.7638353313838901,0.02953823936417289,0.764057664468792,0.024731071228313146,0.0002223330849018268,,,,,,,,,,,
leakage,NR-free,0.7533963025713348,0.021025000608222415,0.754104349742043,0.020008944454636017,0.0007080471707081593,,,,,,,,,,,
leakage,NR-mono,0.5914911488216263,0.05757805433488733,0.5770301725531264,0.072194489727311,-0.014460976268499959,,,,,,,,,,,
baseline,NR-free (fuzzy),,,,,,0.7533963025713348,0.021025000608222415,,,,,,,,,
baseline,Linear,,,,,,0.764284919380202,0.030710357520962236,0.4195932037231631,0.070336107418412,,,,,,,
baseline,SVR-RBF,,,,,,0.8153802315564265,0.024285464479515025,0.43637524889633605,0.0733119927606436,,,,,,,
baseline,RandomForest,,,,,,0.8433938678674698,0.01469354834887786,0.44351003526886057,0.06026032640539214,,,,,,,
algo_disjoint,,,,,,,,,,,clahe,0.787358104207345,485.0,,,,
algo_disjoint,,,,,,,,,,,gamma,0.7176117651794325,485.0,,,,
algo_disjoint,,,,,,,,,,,hist_eq,0.16228272106229896,485.0,,,,
algo_disjoint,,,,,,,,,,,log,0.549955851688464,485.0,,,,
algo_disjoint,,,,,,,,,,,retinex,-0.22124266699168893,485.0,,,,
algo_disjoint,,,,,,,,,,,zerodce,0.26576248249694445,485.0,,,,
algo_disjoint,,,,,,,,,,,sci,0.39092808637563203,485.0,,,,
seed_stability,,,,,,,,,,,,,,42,0.7533963025713348,,
seed_stability,,,,,,,,,,,,,,1,0.7542835618548116,,
seed_stability,,,,,,,,,,,,,,7,0.7533194454767068,,
seed_stability,,,,,,,,,,,,,,123,0.754765629796706,,
seed_stability,,,,,,,,,,,,,,2024,0.7552740354621783,,
seed_stability,,,,,,,,,,,,,,summary,0.7542077950323474,0.0007617708103106104,0.0019545899854714888
