entropy,contrast,sharpness,value
low,low,low,3.2666340992372214
low,low,med,16.221374373995133
low,low,high,38.64325485211229
low,med,low,20.243594187418598
low,med,med,37.3048997174895
low,med,high,59.42095450959063
low,high,low,37.54234117876214
low,high,med,37.69483053170194
low,high,high,55.7205689433521
med,low,low,5.144865585075255
med,low,med,68.55343736512371
med,low,high,60.15423617931258
med,med,low,19.95853710203474
med,med,med,70.83804045926733
med,med,high,74.43563056492886
med,high,low,36.16929591150642
med,high,med,76.2572840041624
med,high,high,77.09765743070321
high,low,low,0.0
high,low,med,79.04974429209705
high,low,high,72.1342968990782
high,med,low,25.845928782684872
high,med,med,79.97544036055409
high,med,high,95.18993707365843
high,high,low,49.0615329637209
high,high,med,98.80142517125104
high,high,high,99.99999999882014
